"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"ANT127","KKI2009","A","N","N","G","D","P",21,1,42,71,0.920238095238095
"ANT226","KKI2009","A","N","N","G","D","L",21,1,42,71,0.883928571428571
"ANT46","KKI2009","A","N","N","G","H","N",21,1,42,112,0.927380952380952
"ANT128","KKI2009","A","N","N","G","H","P",21,1,42,112,0.972619047619048
"ANT227","KKI2009","A","N","N","G","H","L",21,1,42,112,0.953571428571429
"ANT47","KKI2009","A","N","N","N","A","N",21,1,42,117,0.824404761904762
"ANT129","KKI2009","A","N","N","N","A","P",21,1,42,117,0.899404761904762
"ANT228","KKI2009","A","N","N","N","A","L",21,1,42,117,0.841071428571429
"ANT48","KKI2009","A","N","N","N","C","N",21,1,42,201,0.863690476190476
"ANT130","KKI2009","A","N","N","N","C","P",21,1,42,201,0.9375
"ANT229","KKI2009","A","N","N","N","C","L",21,1,42,201,0.872619047619048
"ANT49","KKI2009","A","N","N","N","D","N",21,1,42,71,0.79047619047619
"ANT131","KKI2009","A","N","N","N","D","P",21,1,42,71,0.891666666666667
"ANT230","KKI2009","A","N","N","N","D","L",21,1,42,71,0.788095238095238
"ANT50","KKI2009","A","N","N","N","H","N",21,1,42,112,0.823809523809524
"ANT132","KKI2009","A","N","N","N","H","P",21,1,42,112,0.906547619047619
"ANT231","KKI2009","A","N","N","N","H","L",21,1,42,112,0.842857142857143
"FSL","KKI2009","F","F","S","G","A","N",21,1,42,117,0.858333333333333
"FSL1","KKI2009","F","F","S","G","A","P",21,1,42,117,0.858333333333333
"FSL2","KKI2009","F","F","S","G","A","L",21,1,42,117,0.793452380952381
"FSL3","KKI2009","F","F","S","G","C","N",21,1,42,201,0.910714285714286
"FSL11","KKI2009","F","F","S","G","C","P",21,1,42,201,0.891666666666667
"FSL21","KKI2009","F","F","S","G","C","L",21,1,42,201,0.865476190476191
"FSL4","KKI2009","F","F","S","G","D","N",21,1,42,71,0.829761904761905
"FSL12","KKI2009","F","F","S","G","D","P",21,1,42,71,0.816071428571429
"FSL22","KKI2009","F","F","S","G","D","L",21,1,42,71,0.755952380952381
"FSL5","KKI2009","F","F","S","G","H","N",21,1,42,112,0.849404761904762
"FSL13","KKI2009","F","F","S","G","H","P",21,1,42,112,0.863095238095238
"FSL23","KKI2009","F","F","S","G","H","L",21,1,42,112,0.83452380952381
"FSL6","KKI2009","F","F","S","N","A","N",21,1,42,117,0.747619047619048
"FSL14","KKI2009","F","F","S","N","A","P",21,1,42,117,0.818452380952381
"FSL24","KKI2009","F","F","S","N","A","L",21,1,42,117,0.750595238095238
"FSL7","KKI2009","F","F","S","N","C","N",21,1,42,201,0.792857142857143
"FSL15","KKI2009","F","F","S","N","C","P",21,1,42,201,0.8625
"FSL25","KKI2009","F","F","S","N","C","L",21,1,42,201,0.779761904761905
"FSL8","KKI2009","F","F","S","N","D","N",21,1,42,71,0.714880952380952
"FSL16","KKI2009","F","F","S","N","D","P",21,1,42,71,0.777380952380952
"FSL26","KKI2009","F","F","S","N","D","L",21,1,42,71,0.701190476190476
"FSL9","KKI2009","F","F","S","N","H","N",21,1,42,112,0.726190476190476
"FSL17","KKI2009","F","F","S","N","H","P",21,1,42,112,0.789285714285714
"FSL27","KKI2009","F","F","S","N","H","L",21,1,42,112,0.72797619047619
"FSL10","KKI2009","F","F","N","G","A","N",21,1,42,117,0.873214285714286
"FSL18","KKI2009","F","F","N","G","A","P",21,1,42,117,0.860714285714286
"FSL28","KKI2009","F","F","N","G","A","L",21,1,42,117,0.791666666666667
"FSL19","KKI2009","F","F","N","G","C","N",21,1,42,201,0.927380952380952
"FSL110","KKI2009","F","F","N","G","C","P",21,1,42,201,0.9125
"FSL29","KKI2009","F","F","N","G","C","L",21,1,42,201,0.875595238095238
"FSL20","KKI2009","F","F","N","G","D","N",21,1,42,71,0.835119047619048
"FSL111","KKI2009","F","F","N","G","D","P",21,1,42,71,0.821428571428571
"FSL210","KKI2009","F","F","N","G","D","L",21,1,42,71,0.758333333333333
"FSL30","KKI2009","F","F","N","G","H","N",21,1,42,112,0.873214285714286
"FSL112","KKI2009","F","F","N","G","H","P",21,1,42,112,0.875595238095238
"FSL211","KKI2009","F","F","N","G","H","L",21,1,42,112,0.844642857142857
"FSL31","KKI2009","F","F","N","N","A","N",21,1,42,117,0.752380952380952
"FSL113","KKI2009","F","F","N","N","A","P",21,1,42,117,0.825595238095238
"FSL212","KKI2009","F","F","N","N","A","L",21,1,42,117,0.751785714285714
"FSL32","KKI2009","F","F","N","N","C","N",21,1,42,201,0.804761904761905
"FSL114","KKI2009","F","F","N","N","C","P",21,1,42,201,0.878571428571429
"FSL213","KKI2009","F","F","N","N","C","L",21,1,42,201,0.791071428571429
"FSL33","KKI2009","F","F","N","N","D","N",21,1,42,71,0.722619047619048
"FSL115","KKI2009","F","F","N","N","D","P",21,1,42,71,0.775595238095238
"FSL214","KKI2009","F","F","N","N","D","L",21,1,42,71,0.694642857142857
"FSL34","KKI2009","F","F","N","N","H","N",21,1,42,112,0.7375
"FSL116","KKI2009","F","F","N","N","H","P",21,1,42,112,0.803571428571429
