"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"ANT8811","DC1","A","F","S","N","C","N",114,4,244,201,0.735573431642114
"ANT17011","DC1","A","F","S","N","C","P",114,4,244,201,0.818672104458543
"ANT26911","DC1","A","F","S","N","C","L",114,4,244,201,0.698006548241176
"ANT8911","DC1","A","F","S","N","D","N",114,4,244,71,0.678601084458148
"ANT17111","DC1","A","F","S","N","D","P",114,4,244,71,0.749386065844574
"ANT27011","DC1","A","F","S","N","D","L",114,4,244,71,0.615119813771422
"ANT9011","DC1","A","F","S","N","H","N",114,4,244,112,0.712814924038749
"ANT17211","DC1","A","F","S","N","H","P",114,4,244,112,0.776105294486128
"ANT27111","DC1","A","F","S","N","H","L",114,4,244,112,0.683912387647298
"ANT9111","DC1","A","F","N","G","A","N",114,4,244,117,0.733254275654226
"ANT17311","DC1","A","F","N","G","A","P",114,4,244,117,0.784365723458586
"ANT27211","DC1","A","F","N","G","A","L",114,4,244,117,0.711789052286049
"ANT9211","DC1","A","F","N","G","C","N",114,4,244,201,0.802273223980203
"ANT17411","DC1","A","F","N","G","C","P",114,4,244,201,0.874307154545189
"ANT27311","DC1","A","F","N","G","C","L",114,4,244,201,0.822990481773931
"ANT9311","DC1","A","F","N","G","D","N",114,4,244,71,0.726549210782193
"ANT17511","DC1","A","F","N","G","D","P",114,4,244,71,0.744957284209381
"ANT27411","DC1","A","F","N","G","D","L",114,4,244,71,0.655472186933969
"ANT9411","DC1","A","F","N","G","H","N",114,4,244,112,0.771327746258007
"ANT17611","DC1","A","F","N","G","H","P",114,4,244,112,0.827124689632229
"ANT27511","DC1","A","F","N","G","H","L",114,4,244,112,0.710264325004001
"ANT9511","DC1","A","F","N","N","A","N",114,4,244,117,0.690181696395553
"ANT17711","DC1","A","F","N","N","A","P",114,4,244,117,0.736809777944269
"ANT27611","DC1","A","F","N","N","A","L",114,4,244,117,0.663739001125143
"ANT9611","DC1","A","F","N","N","C","N",114,4,244,201,0.736963976352165
"ANT17811","DC1","A","F","N","N","C","P",114,4,244,201,0.82427165984923
"ANT27711","DC1","A","F","N","N","C","L",114,4,244,201,0.701264850968617
"ANT9711","DC1","A","F","N","N","D","N",114,4,244,71,0.67782621464879
"ANT17911","DC1","A","F","N","N","D","P",114,4,244,71,0.756689992832246
"ANT27811","DC1","A","F","N","N","D","L",114,4,244,71,0.613963152433216
"ANT9811","DC1","A","F","N","N","H","N",114,4,244,112,0.714083779666188
"ANT18011","DC1","A","F","N","N","H","P",114,4,244,112,0.782431618732757
"ANT27911","DC1","A","F","N","N","H","L",114,4,244,112,0.687709835629812
"ANT9911","DC1","A","N","S","G","A","N",114,4,244,117,0.909217808837805
"ANT18111","DC1","A","N","S","G","A","P",114,4,244,117,0.924402775308614
"ANT28011","DC1","A","N","S","G","A","L",114,4,244,117,0.881706155758955
"ANT10011","DC1","A","N","S","G","C","N",114,4,244,201,0.944676299681486
"ANT18211","DC1","A","N","S","G","C","P",114,4,244,201,0.961153484858462
"ANT28111","DC1","A","N","S","G","C","L",114,4,244,201,0.936689185615701
"ANT10111","DC1","A","N","S","G","D","N",114,4,244,71,0.886199421539956
"ANT18311","DC1","A","N","S","G","D","P",114,4,244,71,0.882318076198776
"ANT28211","DC1","A","N","S","G","D","L",114,4,244,71,0.820965703660729
"ANT10211","DC1","A","N","S","G","H","N",114,4,244,112,0.926374650378199
"ANT18411","DC1","A","N","S","G","H","P",114,4,244,112,0.938450571716633
"ANT28311","DC1","A","N","S","G","H","L",114,4,244,112,0.812540302653281
"ANT10311","DC1","A","N","S","N","A","N",114,4,244,117,0.798595660194463
"ANT18511","DC1","A","N","S","N","A","P",114,4,244,117,0.868985532679508
"ANT28411","DC1","A","N","S","N","A","L",114,4,244,117,0.772067139370544
"ANT10411","DC1","A","N","S","N","C","N",114,4,244,201,0.850244012311617
"ANT18611","DC1","A","N","S","N","C","P",114,4,244,201,0.944864392652117
"ANT28511","DC1","A","N","S","N","C","L",114,4,244,201,0.798061906725075
"ANT10511","DC1","A","N","S","N","D","N",114,4,244,71,0.779032155038624
"ANT18711","DC1","A","N","S","N","D","P",114,4,244,71,0.906750739223563
"ANT28611","DC1","A","N","S","N","D","L",114,4,244,71,0.704162601148885
"ANT10611","DC1","A","N","S","N","H","N",114,4,244,112,0.814175819098562
"ANT18811","DC1","A","N","S","N","H","P",114,4,244,112,0.904905650671746
"ANT28711","DC1","A","N","S","N","H","L",114,4,244,112,0.737511838261131
"ANT10711","DC1","A","N","N","G","A","N",114,4,244,117,0.91035314766243
"ANT18911","DC1","A","N","N","G","A","P",114,4,244,117,0.92639798064082
"ANT28811","DC1","A","N","N","G","A","L",114,4,244,117,0.881680342908182
"ANT10811","DC1","A","N","N","G","C","N",114,4,244,201,0.941859753453112
"ANT19011","DC1","A","N","N","G","C","P",114,4,244,201,0.958499929765577
"ANT28911","DC1","A","N","N","G","C","L",114,4,244,201,0.935180666009597
"ANT10911","DC1","A","N","N","G","D","N",114,4,244,71,0.886685076541996
"ANT19111","DC1","A","N","N","G","D","P",114,4,244,71,0.882234131604805
"ANT29011","DC1","A","N","N","G","D","L",114,4,244,71,0.823210696243135
"ANT19211","DC1","A","N","N","G","H","N",114,4,244,112,0.926057019806234
"ANT19311","DC1","A","N","N","G","H","P",114,4,244,112,0.939162056222526
"ANT29111","DC1","A","N","N","G","H","L",114,4,244,112,0.813251375466207
"ANT19411","DC1","A","N","N","N","A","N",114,4,244,117,0.793770936327677
"ANT19511","DC1","A","N","N","N","A","P",114,4,244,117,0.866879431283118
"ANT29211","DC1","A","N","N","N","A","L",114,4,244,117,0.770908335041163
"ANT19611","DC1","A","N","N","N","C","N",114,4,244,201,0.849217632903699
"ANT19711","DC1","A","N","N","N","C","P",114,4,244,201,0.944901228234061
"ANT29311","DC1","A","N","N","N","C","L",114,4,244,201,0.795602217751435
"ANT19811","DC1","A","N","N","N","D","N",114,4,244,71,0.775633556496379
"ANT19911","DC1","A","N","N","N","D","P",114,4,244,71,0.906760826198495
"ANT29411","DC1","A","N","N","N","D","L",114,4,244,71,0.705676360890485
"ANT20011","DC1","A","N","N","N","H","N",114,4,244,112,0.812642299088919
"ANT110011","DC1","A","N","N","N","H","P",114,4,244,112,0.904269853531416
"ANT29511","DC1","A","N","N","N","H","L",114,4,244,112,0.735940549399373
"FSL8311","DC1","F","F","S","G","A","N",114,4,244,117,0.731128597461659
"FSL16511","DC1","F","F","S","G","A","P",114,4,244,117,0.79178469625623
"FSL26411","DC1","F","F","S","G","A","L",114,4,244,117,0.715370600620104
"FSL8411","DC1","F","F","S","G","C","N",114,4,244,201,0.806024737866734
"FSL16611","DC1","F","F","S","G","C","P",114,4,244,201,0.882166947588446
"FSL26511","DC1","F","F","S","G","C","L",114,4,244,201,0.828467086650773
"FSL8511","DC1","F","F","S","G","D","N",114,4,244,71,0.725889022325143
"FSL16711","DC1","F","F","S","G","D","P",114,4,244,71,0.750288530641226
"FSL26611","DC1","F","F","S","G","D","L",114,4,244,71,0.672957323286402
"FSL8611","DC1","F","F","S","G","H","N",114,4,244,112,0.773335718049935
"FSL16811","DC1","F","F","S","G","H","P",114,4,244,112,0.834010554343905
"FSL26711","DC1","F","F","S","G","H","L",114,4,244,112,0.752606852304475
"FSL8711","DC1","F","F","S","N","A","N",114,4,244,117,0.700846818028232
"FSL16911","DC1","F","F","S","N","A","P",114,4,244,117,0.748706991221218
"FSL26811","DC1","F","F","S","N","A","L",114,4,244,117,0.664722926933185
"FSL8811","DC1","F","F","S","N","C","N",114,4,244,201,0.745634942270821
"FSL17011","DC1","F","F","S","N","C","P",114,4,244,201,0.833718906172595
"FSL26911","DC1","F","F","S","N","C","L",114,4,244,201,0.719447455371905
"FSL8911","DC1","F","F","S","N","D","N",114,4,244,71,0.688822380685431
"FSL17111","DC1","F","F","S","N","D","P",114,4,244,71,0.764648271982211
"FSL27011","DC1","F","F","S","N","D","L",114,4,244,71,0.619759250444654
"FSL9011","DC1","F","F","S","N","H","N",114,4,244,112,0.723183129520652
"FSL17211","DC1","F","F","S","N","H","P",114,4,244,112,0.779927136271431
"FSL27111","DC1","F","F","S","N","H","L",114,4,244,112,0.694167765886892
"FSL9111","DC1","F","F","N","G","A","N",114,4,244,117,0.741518019550619
"FSL17311","DC1","F","F","N","G","A","P",114,4,244,117,0.797388501332664
"FSL27211","DC1","F","F","N","G","A","L",114,4,244,117,0.719712323114525
"FSL9211","DC1","F","F","N","G","C","N",114,4,244,201,0.816331121285138
"FSL17411","DC1","F","F","N","G","C","P",114,4,244,201,0.886003604354036
"FSL27311","DC1","F","F","N","G","C","L",114,4,244,201,0.837408345908266
"FSL9311","DC1","F","F","N","G","D","N",114,4,244,71,0.73659463953003
"FSL17511","DC1","F","F","N","G","D","P",114,4,244,71,0.756433561314977
"FSL27411","DC1","F","F","N","G","D","L",114,4,244,71,0.672119660852345
"FSL9411","DC1","F","F","N","G","H","N",114,4,244,112,0.788020054435596
"FSL17611","DC1","F","F","N","G","H","P",114,4,244,112,0.846373731964775
"FSL27511","DC1","F","F","N","G","H","L",114,4,244,112,0.770366287052337
"FSL9511","DC1","F","F","N","N","A","N",114,4,244,117,0.700344126992173
"FSL17711","DC1","F","F","N","N","A","P",114,4,244,117,0.750859139083894
"FSL27611","DC1","F","F","N","N","A","L",114,4,244,117,0.664822254325523
"FSL9611","DC1","F","F","N","N","C","N",114,4,244,201,0.745760163559769
"FSL17811","DC1","F","F","N","N","C","P",114,4,244,201,0.839045349022598
"FSL27711","DC1","F","F","N","N","C","L",114,4,244,201,0.721735624005737
"FSL9711","DC1","F","F","N","N","D","N",114,4,244,71,0.68704783383429
"FSL17911","DC1","F","F","N","N","D","P",114,4,244,71,0.772573855848957
"FSL27811","DC1","F","F","N","N","D","L",114,4,244,71,0.620674421538166
"FSL9811","DC1","F","F","N","N","H","N",114,4,244,112,0.725445695625118
"FSL18011","DC1","F","F","N","N","H","P",114,4,244,112,0.787633057078999
"FSL27911","DC1","F","F","N","N","H","L",114,4,244,112,0.695593261241638
"FSL9911","DC1","F","N","S","G","A","N",114,4,244,117,0.920155215647521
"FSL18111","DC1","F","N","S","G","A","P",114,4,244,117,0.932938109277252
"FSL28011","DC1","F","N","S","G","A","L",114,4,244,117,0.892197455946685
"FSL10011","DC1","F","N","S","G","C","N",114,4,244,201,0.952506052065628
"FSL18211","DC1","F","N","S","G","C","P",114,4,244,201,0.96265240774237
"FSL28111","DC1","F","N","S","G","C","L",114,4,244,201,0.954436983573435
"FSL10111","DC1","F","N","S","G","D","N",114,4,244,71,0.894383843935637
"FSL18311","DC1","F","N","S","G","D","P",114,4,244,71,0.888472145720918
"FSL28211","DC1","F","N","S","G","D","L",114,4,244,71,0.82106565953122
"FSL10211","DC1","F","N","S","G","H","N",114,4,244,112,0.936534036535153
"FSL18411","DC1","F","N","S","G","H","P",114,4,244,112,0.946616559913288
"FSL28311","DC1","F","N","S","G","H","L",114,4,244,112,0.883648849851963
"FSL10311","DC1","F","N","S","N","A","N",114,4,244,117,0.810007563535701
"FSL18511","DC1","F","N","S","N","A","P",114,4,244,117,0.887668771145655
"FSL28411","DC1","F","N","S","N","A","L",114,4,244,117,0.765108431853052
"FSL10411","DC1","F","N","S","N","C","N",114,4,244,201,0.856048682784967
"FSL18611","DC1","F","N","S","N","C","P",114,4,244,201,0.953759075413488
"FSL28511","DC1","F","N","S","N","C","L",114,4,244,201,0.813274815115848
"FSL10511","DC1","F","N","S","N","D","N",114,4,244,71,0.782253306453402
"FSL18711","DC1","F","N","S","N","D","P",114,4,244,71,0.915113012484257
"FSL28611","DC1","F","N","S","N","D","L",114,4,244,71,0.709018367063239
"FSL10611","DC1","F","N","S","N","H","N",114,4,244,112,0.821713872098379
"FSL18811","DC1","F","N","S","N","H","P",114,4,244,112,0.916752368413958
"FSL28711","DC1","F","N","S","N","H","L",114,4,244,112,0.776424363000199
"FSL10711","DC1","F","N","N","G","A","N",114,4,244,117,0.919575730945352
"FSL18911","DC1","F","N","N","G","A","P",114,4,244,117,0.932156144227972
"FSL28811","DC1","F","N","N","G","A","L",114,4,244,117,0.890391809371184
"FSL10811","DC1","F","N","N","G","C","N",114,4,244,201,0.948990692823259
"FSL19011","DC1","F","N","N","G","C","P",114,4,244,201,0.960726392186709
"FSL28911","DC1","F","N","N","G","C","L",114,4,244,201,0.954177013386052
"FSL10911","DC1","F","N","N","G","D","N",114,4,244,71,0.895921833896708
"FSL19111","DC1","F","N","N","G","D","P",114,4,244,71,0.890298491801196
"FSL29011","DC1","F","N","N","G","D","L",114,4,244,71,0.821234997599969
"FSL19211","DC1","F","N","N","G","H","N",114,4,244,112,0.936886500906588
"FSL19311","DC1","F","N","N","G","H","P",114,4,244,112,0.9487321575947
"FSL29111","DC1","F","N","N","G","H","L",114,4,244,112,0.881016884773646
"FSL19411","DC1","F","N","N","N","A","N",114,4,244,117,0.806381095421671
"FSL19511","DC1","F","N","N","N","A","P",114,4,244,117,0.885978810294195
"FSL29211","DC1","F","N","N","N","A","L",114,4,244,117,0.765837585346041
"FSL19611","DC1","F","N","N","N","C","N",114,4,244,201,0.856773442897442
"FSL19711","DC1","F","N","N","N","C","P",114,4,244,201,0.954159801338374
"FSL29311","DC1","F","N","N","N","C","L",114,4,244,201,0.811833072308058
"FSL19811","DC1","F","N","N","N","D","N",114,4,244,71,0.778111713976792
"FSL19911","DC1","F","N","N","N","D","P",114,4,244,71,0.913496550263523
"FSL29411","DC1","F","N","N","N","D","L",114,4,244,71,0.711655658792241
"FSL20011","DC1","F","N","N","N","H","N",114,4,244,112,0.821306431302075
"FSL110011","DC1","F","N","N","N","H","P",114,4,244,112,0.916572109542851
"FSL29511","DC1","F","N","N","N","H","L",114,4,244,112,0.779316445441163
"ANT2015","HNU1","A","F","S","G","A","N",30,10,300,117,0.949960408684547
"ANT11015","HNU1","A","F","S","G","A","P",30,10,300,117,0.9675312899106
"ANT2965","HNU1","A","F","S","G","A","L",30,10,300,117,0.926532567049808
"ANT2022","HNU1","A","F","S","G","C","N",30,10,300,201,0.97555938697318
"ANT11022","HNU1","A","F","S","G","C","P",30,10,300,201,0.982679438058748
"ANT2972","HNU1","A","F","S","G","C","L",30,10,300,201,0.971906768837803
"ANT2032","HNU1","A","F","S","G","D","N",30,10,300,71,0.946344827586207
"ANT11032","HNU1","A","F","S","G","D","P",30,10,300,71,0.95586717752235
"ANT2982","HNU1","A","F","S","G","D","L",30,10,300,71,0.934039591315453
"ANT2042","HNU1","A","F","S","G","H","N",30,10,300,112,0.962159642401022
"ANT11042","HNU1","A","F","S","G","H","P",30,10,300,112,0.973213282247765
"ANT2992","HNU1","A","F","S","G","H","L",30,10,300,112,0.917418901660281
"ANT2052","HNU1","A","F","S","N","A","N",30,10,300,117,0.883450830140485
"ANT11052","HNU1","A","F","S","N","A","P",30,10,300,117,0.946222222222222
"ANT21002","HNU1","A","F","S","N","A","L",30,10,300,117,0.818555555555556
"ANT2062","HNU1","A","F","S","N","C","N",30,10,300,201,0.926326947637293
"ANT11062","HNU1","A","F","S","N","C","P",30,10,300,201,0.97070625798212
"ANT21013","HNU1","A","F","S","N","C","L",30,10,300,201,0.878779054916986
"ANT2072","HNU1","A","F","S","N","D","N",30,10,300,71,0.859371647509579
"ANT11072","HNU1","A","F","S","N","D","P",30,10,300,71,0.942150702426565
"ANT21022","HNU1","A","F","S","N","D","L",30,10,300,71,0.780157088122605
"ANT2082","HNU1","A","F","S","N","H","N",30,10,300,112,0.888919540229885
"ANT11082","HNU1","A","F","S","N","H","P",30,10,300,112,0.959699872286079
"ANT21032","HNU1","A","F","S","N","H","L",30,10,300,112,0.838234993614304
"ANT2092","HNU1","A","F","N","G","A","N",30,10,300,117,0.948730523627075
"ANT11092","HNU1","A","F","N","G","A","P",30,10,300,117,0.967140485312899
"ANT21042","HNU1","A","F","N","G","A","L",30,10,300,117,0.926833971902937
"ANT3002","HNU1","A","F","N","G","C","N",30,10,300,201,0.97544061302682
"ANT11103","HNU1","A","F","N","G","C","P",30,10,300,201,0.982521072796935
"ANT21052","HNU1","A","F","N","G","C","L",30,10,300,201,0.970982120051086
"ANT3013","HNU1","A","F","N","G","D","N",30,10,300,71,0.945708812260536
"ANT11113","HNU1","A","F","N","G","D","P",30,10,300,71,0.955314176245211
"ANT21062","HNU1","A","F","N","G","D","L",30,10,300,71,0.933779054916986
"ANT3022","HNU1","A","F","N","G","H","N",30,10,300,112,0.962005108556833
"ANT11122","HNU1","A","F","N","G","H","P",30,10,300,112,0.973079182630907
"ANT21072","HNU1","A","F","N","G","H","L",30,10,300,112,0.917352490421456
"ANT3032","HNU1","A","F","N","N","A","N",30,10,300,117,0.883588761174968
"ANT11132","HNU1","A","F","N","N","A","P",30,10,300,117,0.945768837803321
"ANT21082","HNU1","A","F","N","N","A","L",30,10,300,117,0.817347381864623
"ANT3042","HNU1","A","F","N","N","C","N",30,10,300,201,0.926289910600255
"ANT11142","HNU1","A","F","N","N","C","P",30,10,300,201,0.970556832694764
"ANT21092","HNU1","A","F","N","N","C","L",30,10,300,201,0.877793103448276
"ANT3052","HNU1","A","F","N","N","D","N",30,10,300,71,0.859491698595147
"ANT11152","HNU1","A","F","N","N","D","P",30,10,300,71,0.941998722860792
"ANT21103","HNU1","A","F","N","N","D","L",30,10,300,71,0.779395913154534
"ANT3062","HNU1","A","F","N","N","H","N",30,10,300,112,0.889800766283525
"ANT11162","HNU1","A","F","N","N","H","P",30,10,300,112,0.959920817369093
"ANT21113","HNU1","A","F","N","N","H","L",30,10,300,112,0.838933588761175
"ANT3072","HNU1","A","N","S","G","A","N",30,10,300,117,0.960679438058748
"ANT11172","HNU1","A","N","S","G","A","P",30,10,300,117,0.976800766283525
"ANT21122","HNU1","A","N","S","G","A","L",30,10,300,117,0.93414687100894
"ANT3082","HNU1","A","N","S","G","C","N",30,10,300,201,0.97997190293742
"ANT11182","HNU1","A","N","S","G","C","P",30,10,300,201,0.987264367816092
"ANT21132","HNU1","A","N","S","G","C","L",30,10,300,201,0.97544061302682
"ANT3092","HNU1","A","N","S","G","D","N",30,10,300,71,0.955947637292465
"ANT11192","HNU1","A","N","S","G","D","P",30,10,300,71,0.968596424010217
"ANT21142","HNU1","A","N","S","G","D","L",30,10,300,71,0.953942528735632
"ANT3103","HNU1","A","N","S","G","H","N",30,10,300,112,0.973819923371647
"ANT11202","HNU1","A","N","S","G","H","P",30,10,300,112,0.982311621966794
"ANT21152","HNU1","A","N","S","G","H","L",30,10,300,112,0.926201787994891
"ANT3113","HNU1","A","N","S","N","A","N",30,10,300,117,0.89250319284802
"ANT11213","HNU1","A","N","S","N","A","P",30,10,300,117,0.959621966794381
"ANT21162","HNU1","A","N","S","N","A","L",30,10,300,117,0.822987228607918
"ANT3122","HNU1","A","N","S","N","C","N",30,10,300,201,0.928702426564496
"ANT11222","HNU1","A","N","S","N","C","P",30,10,300,201,0.977249042145594
"ANT21172","HNU1","A","N","S","N","C","L",30,10,300,201,0.867982120051086
"ANT3132","HNU1","A","N","S","N","D","N",30,10,300,71,0.866111111111111
"ANT11232","HNU1","A","N","S","N","D","P",30,10,300,71,0.960446998722861
"ANT21182","HNU1","A","N","S","N","D","L",30,10,300,71,0.790278416347382
"ANT3142","HNU1","A","N","S","N","H","N",30,10,300,112,0.901669220945083
"ANT11242","HNU1","A","N","S","N","H","P",30,10,300,112,0.974753512132822
"ANT21192","HNU1","A","N","S","N","H","L",30,10,300,112,0.842315453384419
"ANT3152","HNU1","A","N","N","G","A","N",30,10,300,117,0.957965517241379
"ANT11252","HNU1","A","N","N","G","A","P",30,10,300,117,0.975993614303959
"ANT21202","HNU1","A","N","N","G","A","L",30,10,300,117,0.93511877394636
"ANT3162","HNU1","A","N","N","G","C","N",30,10,300,201,0.978666666666667
"ANT11262","HNU1","A","N","N","G","C","P",30,10,300,201,0.987051085568327
"ANT21213","HNU1","A","N","N","G","C","L",30,10,300,201,0.975688378033206
"ANT3172","HNU1","A","N","N","G","D","N",30,10,300,71,0.953144316730524
"ANT11272","HNU1","A","N","N","G","D","P",30,10,300,71,0.967288633461047
"ANT21222","HNU1","A","N","N","G","D","L",30,10,300,71,0.955646232439336
"ANT3182","HNU1","A","N","N","G","H","N",30,10,300,112,0.972499361430396
"ANT11282","HNU1","A","N","N","G","H","P",30,10,300,112,0.981858237547893
"ANT21232","HNU1","A","N","N","G","H","L",30,10,300,112,0.926498084291188
"ANT3192","HNU1","A","N","N","N","A","N",30,10,300,117,0.890527458492976
"ANT11292","HNU1","A","N","N","N","A","P",30,10,300,117,0.958212005108557
"ANT21242","HNU1","A","N","N","N","A","L",30,10,300,117,0.823091954022989
"ANT3202","HNU1","A","N","N","N","C","N",30,10,300,201,0.927083014048531
"ANT11302","HNU1","A","N","N","N","C","P",30,10,300,201,0.976427841634738
"ANT21252","HNU1","A","N","N","N","C","L",30,10,300,201,0.867255427841635
"ANT3213","HNU1","A","N","N","N","D","N",30,10,300,71,0.865805874840358
"ANT11313","HNU1","A","N","N","N","D","P",30,10,300,71,0.959066411238825
"ANT21262","HNU1","A","N","N","N","D","L",30,10,300,71,0.78998595146871
"ANT3222","HNU1","A","N","N","N","H","N",30,10,300,112,0.900951468710089
"ANT11322","HNU1","A","N","N","N","H","P",30,10,300,112,0.97429374201788
"ANT21272","HNU1","A","N","N","N","H","L",30,10,300,112,0.842357598978289
"FSL2015","HNU1","F","F","S","G","A","N",30,10,300,117,0.956674329501916
"FSL11015","HNU1","F","F","S","G","A","P",30,10,300,117,0.974011494252874
"FSL2965","HNU1","F","F","S","G","A","L",30,10,300,117,0.925993614303959
"FSL2022","HNU1","F","F","S","G","C","N",30,10,300,201,0.980922094508301
"FSL11022","HNU1","F","F","S","G","C","P",30,10,300,201,0.987906768837803
"FSL2972","HNU1","F","F","S","G","C","L",30,10,300,201,0.982228607918263
"FSL2032","HNU1","F","F","S","G","D","N",30,10,300,71,0.957053639846743
"FSL11032","HNU1","F","F","S","G","D","P",30,10,300,71,0.967851851851852
"FSL2982","HNU1","F","F","S","G","D","L",30,10,300,71,0.94497190293742
"FSL2042","HNU1","F","F","S","G","H","N",30,10,300,112,0.972821200510856
"FSL11042","HNU1","F","F","S","G","H","P",30,10,300,112,0.98170625798212
"FSL2992","HNU1","F","F","S","G","H","L",30,10,300,112,0.907443167305236
"FSL2052","HNU1","F","F","S","N","A","N",30,10,300,117,0.89510472541507
"FSL11052","HNU1","F","F","S","N","A","P",30,10,300,117,0.957406130268199
"FSL21002","HNU1","F","F","S","N","A","L",30,10,300,117,0.81633588761175
"FSL2062","HNU1","F","F","S","N","C","N",30,10,300,201,0.93490932311622
"FSL11062","HNU1","F","F","S","N","C","P",30,10,300,201,0.977897828863346
"FSL21013","HNU1","F","F","S","N","C","L",30,10,300,201,0.887139208173691
"FSL2072","HNU1","F","F","S","N","D","N",30,10,300,71,0.872411238825032
"FSL11072","HNU1","F","F","S","N","D","P",30,10,300,71,0.955067688378033
"FSL21022","HNU1","F","F","S","N","D","L",30,10,300,71,0.78520945083014
"FSL2082","HNU1","F","F","S","N","H","N",30,10,300,112,0.902192848020434
"FSL11082","HNU1","F","F","S","N","H","P",30,10,300,112,0.968897828863346
"FSL21032","HNU1","F","F","S","N","H","L",30,10,300,112,0.844831417624521
"FSL2092","HNU1","F","F","N","G","A","N",30,10,300,117,0.955610472541507
"FSL11092","HNU1","F","F","N","G","A","P",30,10,300,117,0.973324393358876
"FSL21042","HNU1","F","F","N","G","A","L",30,10,300,117,0.925628352490421
"FSL3002","HNU1","F","F","N","G","C","N",30,10,300,201,0.980856960408685
"FSL11103","HNU1","F","F","N","G","C","P",30,10,300,201,0.987850574712644
"FSL21052","HNU1","F","F","N","G","C","L",30,10,300,201,0.981555555555556
"FSL3013","HNU1","F","F","N","G","D","N",30,10,300,71,0.956154533844189
"FSL11113","HNU1","F","F","N","G","D","P",30,10,300,71,0.967139208173691
"FSL21062","HNU1","F","F","N","G","D","L",30,10,300,71,0.943058748403576
"FSL3022","HNU1","F","F","N","G","H","N",30,10,300,112,0.972689655172414
"FSL11122","HNU1","F","F","N","G","H","P",30,10,300,112,0.981722860791826
"FSL21072","HNU1","F","F","N","G","H","L",30,10,300,112,0.907113665389527
"FSL3032","HNU1","F","F","N","N","A","N",30,10,300,117,0.894756066411239
"FSL11132","HNU1","F","F","N","N","A","P",30,10,300,117,0.957035759897829
"FSL21082","HNU1","F","F","N","N","A","L",30,10,300,117,0.815701149425287
"FSL3042","HNU1","F","F","N","N","C","N",30,10,300,201,0.934924648786718
"FSL11142","HNU1","F","F","N","N","C","P",30,10,300,201,0.977648786717752
"FSL21092","HNU1","F","F","N","N","C","L",30,10,300,201,0.886399744572158
"FSL3052","HNU1","F","F","N","N","D","N",30,10,300,71,0.87185312899106
"FSL11152","HNU1","F","F","N","N","D","P",30,10,300,71,0.954856960408685
"FSL21103","HNU1","F","F","N","N","D","L",30,10,300,71,0.785143039591315
"FSL3062","HNU1","F","F","N","N","H","N",30,10,300,112,0.902247765006386
"FSL11162","HNU1","F","F","N","N","H","P",30,10,300,112,0.969031928480204
"FSL21113","HNU1","F","F","N","N","H","L",30,10,300,112,0.84448275862069
"FSL3072","HNU1","F","N","S","G","A","N",30,10,300,117,0.967205619412516
"FSL11172","HNU1","F","N","S","G","A","P",30,10,300,117,0.98121711366539
"FSL21122","HNU1","F","N","S","G","A","L",30,10,300,117,0.931744572158365
"FSL3082","HNU1","F","N","S","G","C","N",30,10,300,201,0.984280970625798
"FSL11182","HNU1","F","N","S","G","C","P",30,10,300,201,0.991390804597701
"FSL21132","HNU1","F","N","S","G","C","L",30,10,300,201,0.986722860791826
"FSL3092","HNU1","F","N","S","G","D","N",30,10,300,71,0.965731800766284
"FSL11192","HNU1","F","N","S","G","D","P",30,10,300,71,0.977819923371647
"FSL21142","HNU1","F","N","S","G","D","L",30,10,300,71,0.963518518518519
"FSL3103","HNU1","F","N","S","G","H","N",30,10,300,112,0.982017879948914
"FSL11202","HNU1","F","N","S","G","H","P",30,10,300,112,0.988848020434227
"FSL21152","HNU1","F","N","S","G","H","L",30,10,300,112,0.912409961685824
"FSL3113","HNU1","F","N","S","N","A","N",30,10,300,117,0.900291187739464
"FSL11213","HNU1","F","N","S","N","A","P",30,10,300,117,0.968007662835249
"FSL21162","HNU1","F","N","S","N","A","L",30,10,300,117,0.823919540229885
"FSL3122","HNU1","F","N","S","N","C","N",30,10,300,201,0.934231162196679
"FSL11222","HNU1","F","N","S","N","C","P",30,10,300,201,0.98307662835249
"FSL21172","HNU1","F","N","S","N","C","L",30,10,300,201,0.87677650063857
"FSL3132","HNU1","F","N","S","N","D","N",30,10,300,71,0.875353767560664
"FSL11232","HNU1","F","N","S","N","D","P",30,10,300,71,0.968467432950192
"FSL21182","HNU1","F","N","S","N","D","L",30,10,300,71,0.790627075351213
"FSL3142","HNU1","F","N","S","N","H","N",30,10,300,112,0.910002554278416
"FSL11242","HNU1","F","N","S","N","H","P",30,10,300,112,0.980243933588761
"FSL21192","HNU1","F","N","S","N","H","L",30,10,300,112,0.845812260536398
"FSL3152","HNU1","F","N","N","G","A","N",30,10,300,117,0.96485312899106
"FSL11252","HNU1","F","N","N","G","A","P",30,10,300,117,0.980319284802043
"FSL21202","HNU1","F","N","N","G","A","L",30,10,300,117,0.930404853128991
"FSL3162","HNU1","F","N","N","G","C","N",30,10,300,201,0.983148148148148
"FSL11262","HNU1","F","N","N","G","C","P",30,10,300,201,0.991012771392082
"FSL21213","HNU1","F","N","N","G","C","L",30,10,300,201,0.986197956577267
"FSL3172","HNU1","F","N","N","G","D","N",30,10,300,71,0.962896551724138
"FSL11272","HNU1","F","N","N","G","D","P",30,10,300,71,0.976803320561941
